,#,Source,neg,neu,pos,compound,created_at,text,Tweets ago
411,82,@CBS,0.0,1.0,0.0,0.0,2018-08-12 23:30:02+00:00,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:20ET/9:20CT https://t.co/0WfJPGzrwJ,82
406,81,@CBS,0.188,0.72,0.092,-0.5267,2018-08-16 00:09:03+00:00,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,81
401,80,@CBS,0.0,1.0,0.0,0.0,2018-08-16 18:40:09+00:00,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,80
396,79,@CBS,0.0,0.887,0.113,0.3182,2018-08-17 17:42:02+00:00,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",79
391,78,@CBS,0.0,0.801,0.199,0.7351,2018-08-20 21:59:56+00:00,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus special with never-before-seen footage airing TONIGHT at 8/7c on @CBS. https://t.co/1ApOSDZLiK,78
386,77,@CBS,0.0,1.0,0.0,0.0,2018-08-22 20:10:12+00:00,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",77
381,76,@CBS,0.0,1.0,0.0,0.0,2018-08-22 20:55:25+00:00,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",76
376,75,@CBS,0.112,0.888,0.0,-0.4389,2018-08-24 20:30:16+00:00,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,75
371,74,@CBS,0.0,0.9,0.1,0.4588,2018-08-27 23:36:57+00:00,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for your favorite new and returning shows here: https://t.co/TjyVBF7h6U https://t.co/k5I9Fr8cW5",74
366,73,@CBS,0.0,0.83,0.17,0.6239,2018-08-30 15:32:47+00:00,RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,73
361,72,@CBS,0.239,0.761,0.0,-0.6908,2018-08-30 19:45:51+00:00,"RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",72
356,71,@CBS,0.0,1.0,0.0,0.0,2018-08-31 18:01:01+00:00,"Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before it airs on TV. #blessed https://t.co/ZbKT5tyuYw",71
351,70,@CBS,0.0,1.0,0.0,0.0,2018-08-31 21:26:49+00:00,"In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundraising telecast! Read more about what's in store on September 7: https://t.co/H14ZxsBNhy https://t.co/TSEaUe16Nd",70
346,69,@CBS,0.0,0.829,0.171,0.6514,2018-09-01 15:25:34+00:00,RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,69
341,68,@CBS,0.0,0.866,0.134,0.4753,2018-09-04 20:34:26+00:00,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS and @cbsallaccess! https://t.co/vCMsfn5Kqh,68
336,67,@CBS,0.0,0.467,0.533,0.6908,2018-09-05 16:48:09+00:00,"Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",67
331,66,@CBS,0.0,0.909,0.091,0.3612,2018-09-05 17:32:40+00:00,"Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season begins Wednesday, Sept. 26 at 8/7c. https://t.co/yE9lUhOYid",66
326,65,@CBS,0.0,1.0,0.0,0.0,2018-09-05 21:00:00+00:00,Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,65
321,64,@CBS,0.0,0.808,0.192,0.4753,2018-09-06 19:00:01+00:00,Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,64
316,63,@CBS,0.121,0.879,0.0,-0.296,2018-09-06 22:10:49+00:00,Hollywood legend Burt Reynolds has passed away at the age of 82. He will be missed. https://t.co/HSmcJ9X9iC,63
311,62,@CBS,0.0,0.912,0.088,0.5093,2018-09-07 21:50:51+00:00,Tune in to a first-of-its-kind digital live show as lead up to @SU2C’s televised event tonight! The show will feature your favorite stars and influencers in an effort to empower a new generation to #StandUpToCancer. https://t.co/Sxw544Qg1N #Up2Us,62
306,61,@CBS,0.196,0.712,0.092,-0.5411,2018-09-07 23:15:09+00:00,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",61
301,60,@CBS,0.0,1.0,0.0,0.0,2018-09-08 00:00:00+00:00,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,60
296,59,@CBS,0.0,0.812,0.188,0.6996,2018-09-08 16:20:43+00:00,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer collaborative research continues to make! Watch the entire special now: https://t.co/1dnYFVFOG8 https://t.co/AXFz7mUJc4,59
291,58,@CBS,0.0,0.756,0.244,0.6705,2018-09-09 14:00:00+00:00,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today: https://t.co/WxRC30AKW2 https://t.co/EuIowasSdb,58
286,57,@CBS,0.04,0.96,0.0,-0.2263,2018-09-09 23:36:09+00:00,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York, Jacksonville, Nashville, Minneapolis &amp; St. Louis.
New start times:
#60Minutes 7:17 ET/6:17 CT 
#BB20 8:17 ET/7:17 CT 
#H50 9:17 ET/8:17 CT 
#NCISLA 10:17 ET/9:17 CT https://t.co/IPNTGMUTbN",57
281,56,@CBS,0.0,1.0,0.0,0.0,2018-09-10 17:06:16+00:00,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and @cbsallaccess: https://t.co/HG3f53v65S https://t.co/MTzm87nD54",56
276,55,@CBS,0.083,0.699,0.218,0.4753,2018-09-13 18:06:49+00:00,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,55
271,54,@CBS,0.0,1.0,0.0,0.0,2018-09-13 20:28:06+00:00,This just in... https://t.co/QG3OYF6Rfv,54
266,53,@CBS,0.0,1.0,0.0,0.0,2018-09-13 20:52:06+00:00,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,53
261,52,@CBS,0.233,0.598,0.17,-0.2481,2018-09-14 18:22:59+00:00,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",52
256,51,@CBS,0.124,0.827,0.05,-0.485,2018-09-15 16:00:01+00:00,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes season finale tonight at 8/7c on CBS and @cbsallaccess! https://t.co/iZiuINTd5J",51
251,50,@CBS,0.0,1.0,0.0,0.0,2018-09-16 14:33:46+00:00,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,50
246,49,@CBS,0.051,0.949,0.0,-0.2263,2018-09-16 23:48:59+00:00,"Due to an NFL overrun, the CBS Sunday lineup is delayed in the East/Central cities ONLY. New start times:
#60Minutes 7:37 ET/6:37 CT 
#BB20 8:37 ET/7:37 CT 
#NCISLA 9:37 ET/8:37 CT and 10:37 ET/9:37 CT https://t.co/9W6vCzpdOb",49
241,48,@CBS,0.0,0.737,0.263,0.3612,2018-09-17 19:18:37+00:00,Waiting for tonight's @Elementary_CBS season finale like https://t.co/Ou8342vGT9,48
236,47,@CBS,0.0,1.0,0.0,0.0,2018-09-17 21:41:20+00:00,RT @SalvationCBS: X marks the spot on the heart-stopping season finale of #SalvationCBS tonight at 9/8c on CBS &amp; CBS All Access: https://t.…,47
231,46,@CBS,0.0,0.473,0.527,0.9642,2018-09-17 22:01:52+00:00,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",46
226,45,@CBS,0.0,0.791,0.209,0.6486,2018-09-18 17:04:20+00:00,RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,45
221,44,@CBS,0.225,0.607,0.168,-0.0531,2018-09-19 19:07:37+00:00,The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom. https://t.co/djOLtrJXAA https://t.co/1koAzAyCB5,44
216,43,@CBS,0.0,1.0,0.0,0.0,2018-09-20 16:47:26+00:00,RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,43
211,42,@CBS,0.0,0.788,0.212,0.7896,2018-09-20 21:38:21+00:00,RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,42
206,41,@CBS,0.071,0.811,0.118,0.2263,2018-09-20 23:17:19+00:00,"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's notorious stairs. Admitting's the first step, Kaley (even if you just made your feelings clear about steps). https://t.co/1F2uguNEzK https://t.co/zhP23dowbd",41
201,40,@CBS,0.162,0.714,0.123,-0.1531,2018-09-21 17:46:26+00:00,@colbertlateshow @IainLoveTheatre @IainLoveTheatre made a compelling argument. We'll get back to you. 😉,40
196,39,@CBS,0.092,0.775,0.134,0.296,2018-09-21 19:18:00+00:00,"How does $100,000 sound? Because someone is going to win all that tonight on the @TKOCBS Battle Royale finale at 9pm/8c on CBS. https://t.co/4nVqxi1Gk7",39
191,38,@CBS,0.0,1.0,0.0,0.0,2018-09-23 14:00:00+00:00,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺 https://t.co/WxRC30ja4u https://t.co/0a66yDbgV5,38
186,37,@CBS,0.049,0.951,0.0,-0.2263,2018-09-23 23:24:03+00:00,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Providence, Houston &amp; N. Wisconsin ONLY. New start times: 
#60Minutes 7:07pmET/6:07pmCT 

#BB20 8:07ET/7:07CT 

#NCISLA 9:07ET/8:07CT &amp; 

#MadamSecretary 10:07ET/9:07CT https://t.co/j5S0xc4vsm",37
181,36,@CBS,0.0,1.0,0.0,0.0,2018-09-24 18:56:15+00:00,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",36
176,35,@CBS,0.0,0.919,0.081,0.3919,2018-09-25 18:05:31+00:00,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf instructor in the process. Well, we think they were talking about surfing anyway. https://t.co/0TWx5CczIb https://t.co/tZIyDAWoUP",35
171,34,@CBS,0.0,1.0,0.0,0.0,2018-09-25 18:34:26+00:00,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",34
166,33,@CBS,0.0,0.709,0.291,0.7901,2018-09-25 19:45:33+00:00,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,33
161,32,@CBS,0.0,1.0,0.0,0.0,2018-09-25 19:54:26+00:00,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,32
156,31,@CBS,0.191,0.809,0.0,-0.6369,2018-09-25 20:31:45+00:00,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in the new Dick Wolf show. https://t.co/FslXe2j7R3",31
151,30,@CBS,0.138,0.764,0.098,-0.2714,2018-09-25 21:10:56+00:00,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",30
146,29,@CBS,0.0,1.0,0.0,0.0,2018-09-26 17:25:43+00:00,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",29
141,28,@CBS,0.0,0.831,0.169,0.6249,2018-09-26 19:57:54+00:00,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season Premiere tonight at 8pm/7c on CBS and @CBSAllAccess. https://t.co/Gt3xRw6N6X",28
136,27,@CBS,0.0,0.945,0.055,0.1139,2018-09-26 21:49:27+00:00,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale tonight at 9:30pm/8:30c on CBS and @CBSAllAccess. https://t.co/iT9hi6laKH,27
131,26,@CBS,0.0,1.0,0.0,0.0,2018-09-27 00:42:15+00:00,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,26
126,25,@CBS,0.0,1.0,0.0,0.0,2018-09-27 00:44:13+00:00,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,25
495,99,@BBC,0.351,0.649,0.0,-0.7579,2018-09-27 11:03:03+00:00,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",99
490,98,@BBC,0.0,1.0,0.0,0.0,2018-09-27 12:32:06+00:00,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉
https://t.co/03g0IfM7pV https://t.co/Fw7uSGPuYC",98
485,97,@BBC,0.299,0.476,0.225,-0.4019,2018-09-27 13:03:06+00:00,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",97
480,96,@BBC,0.0,1.0,0.0,0.0,2018-09-27 13:10:27+00:00,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,96
475,95,@BBC,0.0,0.894,0.106,0.4939,2018-09-27 13:46:00+00:00,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in just one year.💧

#NationalRefillDay #PlasticsAction https://t.co/AbIqz3tlD6",95
470,94,@BBC,0.101,0.794,0.105,0.0276,2018-09-27 14:03:05+00:00,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of internet fame. https://t.co/Xs6Np4JgWe https://t.co/sacjHd2yFG",94
465,93,@BBC,0.0,0.829,0.171,0.5719,2018-09-27 15:06:35+00:00,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",93
460,92,@BBC,0.194,0.806,0.0,-0.5574,2018-09-27 15:31:07+00:00,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",92
455,91,@BBC,0.064,0.936,0.0,-0.128,2018-09-27 16:03:09+00:00,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴 https://t.co/FWSAhQNRlT https://t.co/ydaK3bC4sN,91
121,24,@CBS,0.25,0.581,0.169,-0.34,2018-09-27 16:58:08+00:00,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,24
450,90,@BBC,0.056,0.846,0.098,0.2263,2018-09-27 17:02:07+00:00,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their skill and knowledge across all genres of music... 🎶

@garethmalone's All Star Music Quiz | 7pm | @BBCTwo | https://t.co/AQT3uesJ1U https://t.co/pO3552aEif",90
116,23,@CBS,0.0,1.0,0.0,0.0,2018-09-27 17:19:16+00:00,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit in a less burgundy hue. https://t.co/bcJb7AH19N https://t.co/4UtvuUxTme",23
111,22,@CBS,0.0,1.0,0.0,0.0,2018-09-27 20:01:53+00:00,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,22
106,21,@CBS,0.048,0.952,0.0,-0.1779,2018-09-27 20:19:18+00:00,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you can't get rid of all daydel deedle deidel... Seriously? We JUST got it out of our head. https://t.co/XJdmMexVXM https://t.co/UdoBrTFdWO,21
445,89,@BBC,0.0,0.728,0.272,0.6808,2018-09-28 07:01:05+00:00,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl",89
440,88,@BBC,0.0,0.874,0.126,0.3818,2018-09-28 07:32:06+00:00,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"". https://t.co/5CA1OgvC9T https://t.co/ASQiN6sUPp",88
435,87,@BBC,0.0,0.833,0.167,0.5859,2018-09-28 08:04:02+00:00,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp",87
430,86,@BBC,0.262,0.738,0.0,-0.5994,2018-09-28 09:04:01+00:00,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ",86
425,85,@BBC,0.0,0.829,0.171,0.5719,2018-09-28 09:40:18+00:00,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…",85
420,84,@BBC,0.121,0.879,0.0,-0.296,2018-09-28 10:02:06+00:00,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj",84
415,83,@BBC,0.0,1.0,0.0,0.0,2018-09-28 10:24:29+00:00,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…",83
410,82,@BBC,0.082,0.691,0.227,0.6597,2018-09-28 11:04:06+00:00,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂❤️️

https://t.co/icghbuq7WN",82
405,81,@BBC,0.345,0.478,0.177,-0.5346,2018-09-28 12:33:00+00:00,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE",81
400,80,@BBC,0.0,1.0,0.0,0.0,2018-09-28 14:03:07+00:00,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX,80
395,79,@BBC,0.0,0.882,0.118,0.1531,2018-09-28 15:01:02+00:00,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX",79
390,78,@BBC,0.0,0.655,0.345,0.7003,2018-09-28 16:03:07+00:00,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",78
101,20,@CBS,0.0,1.0,0.0,0.0,2018-09-28 16:51:50+00:00,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",20
96,19,@CBS,0.0,1.0,0.0,0.0,2018-09-28 17:52:41+00:00,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October 3, 9/8c on CBS. https://t.co/Jv04J1TMvM",19
385,77,@BBC,0.062,0.894,0.045,-0.126,2018-09-28 18:32:03+00:00,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three remaining celebrities and the title. 

Celebrity MasterChef | 8:30pm | @BBCOne | https://t.co/TOmTGAiWmu https://t.co/bI90gKXLgJ",77
91,18,@CBS,0.0,1.0,0.0,0.0,2018-09-28 20:16:14+00:00,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con: Their latest single blatantly plagiarizes a post-it you wrote reminding them to do the dishes. https://t.co/u66dr1hywt https://t.co/JR7595Qe7S",18
380,76,@BBC,0.0,0.851,0.149,0.6229,2018-09-28 20:31:03+00:00,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort on the sofa, and @rodstewart performs! ✨

The Graham Norton Show | 10:35pm | @BBCOne | https://t.co/NcjDxOHQVj https://t.co/BQNFnD8h3P",76
86,17,@CBS,0.0,1.0,0.0,0.0,2018-09-28 22:22:01+00:00,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when Stephen's last name could have been ""Not the Entertainer."" https://t.co/POoOCpB2MB https://t.co/cPhtMlMc5u",17
375,75,@BBC,0.0,1.0,0.0,0.0,2018-09-29 06:31:00+00:00,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of their decline.

Drowning in Plastic | 8.30pm | Monday 1st October | @BBCOne 

https://t.co/34t3gddRyJ https://t.co/nrtq4TEwcI",75
370,74,@BBC,0.0,1.0,0.0,0.0,2018-09-29 07:03:06+00:00,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",74
365,73,@BBC,0.136,0.746,0.118,-0.1022,2018-09-29 08:05:03+00:00,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",73
360,72,@BBC,0.0,0.763,0.237,0.6808,2018-09-29 08:11:46+00:00,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,72
355,71,@BBC,0.254,0.746,0.0,-0.5267,2018-09-29 09:01:02+00:00,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",71
350,70,@BBC,0.0,0.819,0.181,0.4939,2018-09-29 10:03:05+00:00,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their tics.

https://t.co/L8Ie1NMPkA",70
345,69,@BBC,0.227,0.616,0.156,-0.186,2018-09-29 11:03:02+00:00,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",69
340,68,@BBC,0.253,0.747,0.0,-0.5256,2018-09-29 13:01:07+00:00,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",68
335,67,@BBC,0.0,1.0,0.0,0.0,2018-09-29 14:03:07+00:00,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",67
330,66,@BBC,0.0,0.671,0.329,0.7088,2018-09-29 15:02:04+00:00,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",66
325,65,@BBC,0.0,0.871,0.129,0.5499,2018-09-29 15:54:38+00:00,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",65
320,64,@BBC,0.293,0.707,0.0,-0.7003,2018-09-29 16:01:07+00:00,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",64
